Open,High,Low,Close,Volume,Dividends,Stock Splits
29.059675412346543,29.283935907806594,28.90942129102154,29.010337829589844,153800400,0.0,0.0
29.04174092205789,29.08435097362452,28.786084034602492,28.851118087768555,142507200,0.0,0.0
28.907180282206603,28.976703919337854,28.442962775213026,28.66049575805664,210699200,0.0,0.0
28.41381136401914,28.723292021999566,28.171611267260324,28.575279235839844,224301600,0.0,0.0
28.687405006899652,29.00585453132655,28.67170683910317,28.90269660949707,156349200,0.0,0.0
28.969978471439347,29.19423903897281,28.81299675855486,28.837665557861328,141563600,0.0,0.0
28.74795943382105,28.77935577283128,28.505757637765978,28.51921272277832,147544800,0.0,0.0
28.27924695749167,28.534903774790312,28.191785504782747,28.4631404876709,175955600,0.0,0.0
28.487810319587197,28.671703856489906,28.339799283041987,28.615638732910156,125976400,0.0,0.0
28.642559387177993,28.67844018756124,28.422783282555987,28.548370361328125,131672400,0.0,0.0
28.53267209726164,28.77487220423219,28.530429012566156,28.67844009399414,141628800,0.0,0.0
28.64030576564891,28.66497455538708,28.34652508364012,28.391376495361328,218867600,0.0,0.0
28.590977521893688,28.7188059691074,28.499031584550888,28.617889404296875,136157200,0.0,0.0
28.588728383260023,28.617881631382634,28.45417071876359,28.487810134887695,121075600,0.0,0.0
28.52818188866539,29.109017552550675,28.50799926218056,28.730016708374023,221123600,0.0,0.0
28.89821231033968,28.9744600700057,28.593217849731445,28.593217849731445,127752400,0.0,0.0
28.63133755944581,28.703100850844216,28.371196269741027,28.425018310546875,176267200,0.0,0.0
28.135724521616837,28.3622281249852,27.915950171038084,27.927162170410156,196645600,0.0,0.0
28.160394139449863,28.283738112955014,28.001169371543593,28.128997802734375,177482800,0.0,0.0
